
file                                                                                            widthPx heightPx minPx label                  bounds               
----                                                                                            ------- -------- ----- -----                  ------               
docs\qa\evidence\2026-05-27-physical-progress-measurement-loop\progress-top.xml                     197      186   144                        [662,2010][859,2196] 
docs\qa\evidence\2026-05-27-physical-progress-measurement-loop\progress-top.xml                     888       54   144                        [96,1884][984,1938]  
docs\qa\evidence\2026-05-27-physical-progress-measurement-loop\progress-top.xml                     888      168   144                        [96,1044][984,1212]  
docs\qa\evidence\2026-05-27-physical-progress-measurement-loop\progress-top.xml                     888      192   144                        [96,1452][984,1644]  
docs\qa\evidence\2026-05-27-physical-progress-measurement-loop\progress-top.xml                     888      192   144                        [96,1668][984,1860]  
docs\qa\evidence\2026-05-27-physical-progress-measurement-loop\progress-top.xml                     888      192   144                        [96,1236][984,1428]  
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  156       99   144                        [828,1839][984,1938] 
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  156      144   144                        [828,1635][984,1779] 
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  189      144   144                        [96,1036][285,1180]  
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  196      186   144                        [0,2010][196,2196]   
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  197      186   144                        [441,2010][638,2196] 
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  197      186   144                        [220,2010][417,2196] 
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  197      186   144                        [662,2010][859,2196] 
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  197      186   144                        [883,2010][1080,2196]
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  230      144   144                        [96,1204][326,1348]  
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  261      144   144                        [96,868][357,1012]   
docs\qa\evidence\2026-05-27-physical-settings-theme-loop\theme-options-visible.xml                  888      144   144                        [96,359][984,503]    
docs\qa\evidence\2026-05-27-physical-smartscale-scanner-loop\after-smartscale-tap.xml               254      144   144                        [72,1668][326,1812]  
docs\qa\evidence\2026-05-27-physical-smartscale-scanner-loop\after-smartscale-tap.xml               366      144   144                        [642,1668][1008,1812]
docs\qa\evidence\2026-05-27-physical-smartscale-scanner-loop\after-smartscale-tap.xml               936      144   144                        [72,1836][1008,1980] 
docs\qa\evidence\2026-05-27-physical-training-history-loop\training-scrolled.xml                    196      186   144                        [0,2010][196,2196]   
docs\qa\evidence\2026-05-27-physical-training-history-loop\training-scrolled.xml                    197      186   144                        [662,2010][859,2196] 
docs\qa\evidence\2026-05-27-physical-training-history-loop\training-scrolled.xml                    197      186   144                        [883,2010][1080,2196]
docs\qa\evidence\2026-05-27-physical-training-history-loop\training-scrolled.xml                    197      186   144                        [220,2010][417,2196] 
docs\qa\evidence\2026-05-27-physical-training-history-loop\training-scrolled.xml                    197      186   144                        [441,2010][638,2196] 



